Stock quote and option quote for SPX on 4/9/26 09:07:21

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
6776.74, ,-6.07,6774.34, ,6779.50, ,<empty>,<empty>,6783.69,6783.69,6768.56

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
0,<empty>,<empty>,<empty>,--,,7002.28,5101.63,0,1

8 APR 26  (-1)  100 (Weeklys)

9 APR 26  (0)  100 (Weeklys)

10 APR 26  (1)  100 (Weeklys)
,,Volume,Open.Int,AS,BS,Last Size,LAST,LX,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,AS,BS,Last Size,LAST,LX,,
,,<empty>,3,2,2,1,5198.28,C,5365.40,C,5385.90,C,10 APR 26,1400,0,C,.05,C,<empty>,0,739,<empty>,0,0, ,,
,,<empty>,0,1,2,0,0, ,5166.90,C,5185.50,C,10 APR 26,1600,0,C,.05,C,<empty>,0,739,<empty>,0,0, ,,
,,<empty>,0,1,2,0,0, ,4966.90,C,4987.20,C,10 APR 26,1800,0,C,.05,C,<empty>,0,739,<empty>,0,0, ,,
,,<empty>,1,3,2,1,4598.53,C,4766.40,C,4787.30,C,10 APR 26,2000,0,C,.05,C,<empty>,194,839,<empty>,0,0, ,,
,,<empty>,0,1,2,0,0, ,4567.10,C,4587.30,C,10 APR 26,2200,0,C,.05,C,<empty>,150,839,<empty>,1,.10,C,,
,,<empty>,1,1,2,1,4199.58,C,4367.10,C,4387.40,C,10 APR 26,2400,0,C,.05,C,<empty>,168,839,<empty>,1,.05,C,,
,,<empty>,0,1,2,0,0, ,4167.20,C,4185.80,C,10 APR 26,2600,0,C,.05,C,<empty>,125,839,<empty>,9,.05,C,,
,,<empty>,1,1,2,1,3606.11,C,3967.30,C,3987.50,C,10 APR 26,2800,0,C,.05,C,<empty>,149,838,<empty>,1,.05,C,,
,,<empty>,1,1,2,6,3576.05,C,3767.30,C,3786.00,C,10 APR 26,3000,0,C,.05,C,<empty>,572,838,<empty>,2,.10,C,,
,,<empty>,0,2,2,0,0, ,3566.30,C,3586.50,C,10 APR 26,3200,0,C,.05,C,<empty>,932,837,<empty>,39,.15,C,,
,,<empty>,0,2,2,0,0, ,3366.80,C,3386.60,C,10 APR 26,3400,0,C,.05,C,<empty>,365,837,<empty>,6,.05,C,,
,,<empty>,1,1,2,0,0, ,3166.30,C,3186.20,C,10 APR 26,3600,0,C,.05,C,<empty>,"1,887",831,<empty>,39,.03,C,,
,,<empty>,0,1,2,0,0, ,2967.00,C,2986.20,C,10 APR 26,3800,0,C,.05,C,<empty>,"3,001",830,<empty>,40,.03,C,,
,,<empty>,120,1,2,40,2587.33,C,2767.80,C,2786.30,C,10 APR 26,4000,0,C,.05,C,<empty>,"1,830",824,<empty>,9,.03,C,,
,,<empty>,0,1,2,0,0, ,2567.70,C,2586.40,C,10 APR 26,4200,0,C,.05,C,<empty>,"3,230",816,<empty>,6,.05,C,,
,,<empty>,1,1,2,1,2166.48,C,2367.70,C,2386.50,C,10 APR 26,4400,0,C,.05,C,<empty>,"7,034",835,<empty>,10,.03,C,,
,,1,1,2,2,1,2175.17,C,2167.90,C,2188.00,C,10 APR 26,4600,0,C,.05,C,<empty>,"7,044",826,<empty>,4,.05,C,,
,,1,0,2,2,0,0, ,1968.00,C,1988.30,C,10 APR 26,4800,0,C,.05,C,<empty>,"5,674",691,<empty>,100,.10,C,,
,,<empty>,0,1,2,0,0, ,1867.40,C,1886.60,C,10 APR 26,4900,0,C,.05,C,<empty>,944,605,<empty>,1,.05,C,,
,,<empty>,842,1,1,1,1598.40,C,1772.60,C,1781.30,C,10 APR 26,5000,0,C,.05,C,<empty>,"14,528",531,<empty>,1,.03,C,,
,,<empty>,2,2,2,0,0, ,1668.20,C,1686.60,C,10 APR 26,5100,0,C,.05,C,<empty>,"3,648",515,<empty>,39,.05,C,,
,,<empty>,0,1,2,0,0, ,1618.10,C,1636.70,C,10 APR 26,5150,0,C,.05,C,<empty>,521,501,<empty>,1,.03,C,,
,,<empty>,100,2,2,1,1369.27,C,1567.50,C,1588.40,C,10 APR 26,5200,0,C,.05,C,<empty>,"3,044",479,<empty>,25,.05,C,,
,,<empty>,0,1,2,0,0, ,1543.10,C,1563.30,C,10 APR 26,5225,0,C,.05,C,<empty>,447,465,<empty>,17,.05,C,,
,,<empty>,1,2,2,1,1350.79,C,1518.10,C,1538.50,C,10 APR 26,5250,0,C,.05,C,<empty>,"1,214",471,<empty>,7,.05,C,,
,,<empty>,0,2,2,0,0, ,1493.20,C,1511.80,C,10 APR 26,5275,0,C,.05,C,2,424,494,<empty>,1,.03,C,,
,,17,17,2,2,17,1478.91,C,1466.90,C,1487.30,C,10 APR 26,5300,0,C,.05,C,<empty>,"34,791","2,986",<empty>,10,.05,C,,
,,<empty>,0,2,2,0,0, ,1442.00,C,1462.30,C,10 APR 26,5325,0,C,.05,C,<empty>,"1,237",490,<empty>,1,.10,C,,
,,<empty>,0,1,2,0,0, ,1418.20,C,1436.80,C,10 APR 26,5350,0,C,.05,C,<empty>,"1,527",387,<empty>,7,.05,C,,
,,<empty>,0,2,2,0,0, ,1392.50,C,1412.30,C,10 APR 26,5375,0,C,.05,C,<empty>,311,374,<empty>,7,.05,C,,
,,<empty>,302,1,3,1,1382.68,C,1374.70,C,1380.70,C,10 APR 26,5400,0,C,.05,C,<empty>,"28,657","1,875",<empty>,10,.05,C,,
,,<empty>,0,2,2,0,0, ,1342.60,C,1363.50,C,10 APR 26,5425,0,C,.05,C,<empty>,201,405,<empty>,1,.50,C,,
,,3,3,2,2,2,1326.42,C,1317.50,C,1337.30,C,10 APR 26,5450,0,C,.05,C,<empty>,"3,061",317,<empty>,1,.05,C,,
,,<empty>,0,2,2,0,0, ,1292.00,C,1311.90,C,10 APR 26,5475,0,C,.05,C,<empty>,242,96,<empty>,1,.05,C,,
,,1,1,2,2,1,1106.17,C,1268.20,C,1288.60,C,10 APR 26,5500,0,C,.05,C,<empty>,"20,298","1,636",<empty>,25,.05,C,,
,,<empty>,1,2,2,1,972.72,C,1243.30,C,1262.10,C,10 APR 26,5525,0,C,.05,C,<empty>,"1,241",79,<empty>,19,.10,C,,
,,<empty>,0,1,2,0,0, ,1218.20,C,1238.40,C,10 APR 26,5550,0,C,.05,C,<empty>,"2,734",80,<empty>,12,.10,C,,
,,<empty>,1,1,2,1,1017.25,C,1192.00,C,1213.40,C,10 APR 26,5575,0,C,.05,C,1,606,86,<empty>,1,.05,C,,
,,<empty>,1,2,2,1,974.40,C,1168.20,C,1188.60,C,10 APR 26,5600,0,C,.05,C,1,"4,341",857,<empty>,1,.05,C,,
,,<empty>,1,2,2,1,874.47,C,1142.60,C,1162.40,C,10 APR 26,5625,0,C,.05,C,<empty>,328,47,<empty>,5,.07,C,,
,,<empty>,2,2,2,0,0, ,1118.30,C,1138.60,C,10 APR 26,5650,0,C,.05,C,40,"1,165",40,<empty>,4,.05,C,,
,,<empty>,0,2,2,0,0, ,1092.70,C,1113.60,C,10 APR 26,5675,0,C,.10,C,4,360,516,<empty>,4,.05,C,,
,,<empty>,1,2,2,1,653.08,C,1066.90,C,1087.40,C,10 APR 26,5700,0,C,.10,C,122,"1,800",433,<empty>,1,.05,C,,
,,<empty>,0,2,2,0,0, ,1047.00,C,1067.40,C,10 APR 26,5720,0,C,.10,C,22,127,472,<empty>,19,.05,C,,
,,<empty>,0,2,2,0,0, ,1042.10,C,1062.40,C,10 APR 26,5725,0,C,.10,C,"1,031",170,559,<empty>,5,.05,C,,
,,<empty>,0,2,2,0,0, ,1037.10,C,1057.40,C,10 APR 26,5730,.05,C,.10,C,100,153,483,25,10,.05,C,,
,,<empty>,0,1,2,0,0, ,1028.30,C,1048.50,C,10 APR 26,5740,.05,C,.10,C,10,420,473,25,10,.05,C,,
