Stock quote and option quote for SPY on 12/1/25 08:32:23

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
679.16,Q,-4.23,679.16,P,679.17,Q,640 x 280,"2,691,686",678.81,679.47,678.76

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
40,1.08%,<empty>,1.831,Q,9/19/25,689.70,481.80,"1,024,182,000",1.009

1 DEC 25  (0)  100 (Weeklys)

2 DEC 25  (1)  100 (Weeklys)

3 DEC 25  (2)  100 (Weeklys)

4 DEC 25  (3)  100 (Weeklys)

5 DEC 25  (4)  100 (Weeklys)

8 DEC 25  (7)  100 (Weeklys)

9 DEC 25  (8)  100 (Weeklys)

10 DEC 25  (9)  100 (Weeklys)

11 DEC 25  (10)  100 (Weeklys)

12 DEC 25  (11)  100 (Weeklys)

15 DEC 25  (14)  100 (Weeklys)

19 DEC 25  (18)  100

26 DEC 25  (25)  100 (Weeklys)

31 DEC 25  (30)  100 (Quarterlys)

2 JAN 26  (32)  100 (Weeklys)

9 JAN 26  (39)  100 (Weeklys)

16 JAN 26  (46)  100

30 JAN 26  (60)  100 (Weeklys)

20 FEB 26  (81)  100

27 FEB 26  (88)  100 (Weeklys)

20 MAR 26  (109)  100

31 MAR 26  (120)  100 (Quarterlys)

30 APR 26  (150)  100 (EOM)

29 MAY 26  (179)  100 (Weeklys)

18 JUN 26  (199)  100

30 JUN 26  (211)  100 (Quarterlys)
,,Volume,Open.Int,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,,
,,0,12,270.41,U,285.41,U,30 JUN 26,410,0,U,10.00,U,0,302,,
,,0,10,260.50,U,275.50,U,30 JUN 26,420,0,U,15.00,U,0,472,,
,,<empty>,2,251.25,U,266.25,U,30 JUN 26,430,0,U,15.00,U,0,263,,
,,<empty>,1,246.87,S,250.12,D,30 JUN 26,440,2.92,Q,2.97,H,0,709,,
,,<empty>,1,243.70,J,245.46,D,30 JUN 26,445,3.05,J,3.09,J,0,268,,
,,<empty>,11,237.63,D,240.87,S,30 JUN 26,450,3.14,I,3.18,I,0,376,,
,,<empty>,0,232.58,S,236.22,S,30 JUN 26,455,3.29,I,3.32,I,0,123,,
,,<empty>,2,229.08,J,230.01,J,30 JUN 26,460,3.42,W,3.45,W,0,104,,
,,<empty>,0,224.46,J,226.57,S,30 JUN 26,465,3.57,I,3.60,I,0,112,,
,,<empty>,8,218.49,C,221.62,D,30 JUN 26,470,3.72,I,3.75,I,0,230,,
,,<empty>,4,213.78,M,217.11,S,30 JUN 26,475,3.88,W,3.92,I,0,110,,
,,0,3,210.24,J,212.40,P,30 JUN 26,480,4.05,I,4.07,D,0,"1,544",,
,,0,3,205.42,J,207.62,S,30 JUN 26,485,4.22,I,4.26,I,0,22,,
,,0,11,199.85,H,203.00,S,30 JUN 26,490,4.42,I,4.47,I,0,267,,
,,<empty>,13,198.74, ,198.03,D,30 JUN 26,495,4.63,B,4.66,I,0,299,,
,,0,226,190.29,C,192.53,J,30 JUN 26,500,4.84,I,4.86,W,0,"2,310",,
,,<empty>,8,186.78,J,188.82,D,30 JUN 26,505,5.04,I,5.09,I,0,78,,
,,0,98,180.67,S,184.24,S,30 JUN 26,510,5.30,I,5.34,I,0,311,,
,,<empty>,3,176.28,M,180.24,P,30 JUN 26,515,5.57,I,5.61,I,0,86,,
,,0,81,171.81,N,174.93,A,30 JUN 26,520,5.83,I,5.87,D,0,270,,
,,<empty>,17,167.02,D,170.24,D,30 JUN 26,525,6.10,I,6.15,I,0,518,,
,,0,18,162.47,D,165.77,P,30 JUN 26,530,6.41,I,6.49,M,0,205,,
,,<empty>,83,159.00,E,159.94,E,30 JUN 26,535,6.76,I,6.78,W,0,634,,
,,0,20,154.28,E,155.32,T,30 JUN 26,540,7.09,I,7.12,W,0,523,,
,,0,36,149.78,E,150.89,I,30 JUN 26,545,7.44,I,7.50,I,0,112,,
,,0,86,145.53,J,146.49,T,30 JUN 26,550,7.80,I,7.86,I,0,"2,805",,
,,<empty>,3,141.82,C,142.78,S,30 JUN 26,554,8.16,P,8.23,W,<empty>,73,,
,,0,47,140.77,E,141.92,E,30 JUN 26,555,8.21,D,8.29,M,0,"4,594",,
,,<empty>,0,140.02,W,141.14,Z,30 JUN 26,556,8.33,I,8.38,I,0,32,,
,,<empty>,0,139.15,T,140.19,W,30 JUN 26,557,8.42,B,8.45,W,<empty>,5,,
,,0,6,138.07,E,139.37,I,30 JUN 26,558,8.50,I,8.55,I,0,21,,
,,0,6,137.18,E,138.49,W,30 JUN 26,559,8.58,B,8.65,I,0,6,,
,,0,42,135.45,C,137.48,N,30 JUN 26,560,8.64,D,8.73,W,0,175,,
,,0,11,135.71,J,136.64,W,30 JUN 26,561,8.74,I,8.80,I,0,69,,
,,<empty>,10,134.71,S,135.64,J,30 JUN 26,562,8.87,B,8.90,I,0,11,,
,,0,33,133.62,E,134.89,S,30 JUN 26,563,8.90,I,8.97,W,<empty>,10,,
,,<empty>,1,132.74,E,133.97,E,30 JUN 26,564,9.05,W,9.07,I,0,10,,
,,0,104,131.89,N,132.90,T,30 JUN 26,565,9.11,W,9.16,I,0,50,,
,,0,8,130.97,E,132.03,C,30 JUN 26,566,9.20,I,9.28,I,0,9,,
,,<empty>,0,130.14,S,131.29,J,30 JUN 26,567,9.30,I,9.37,I,0,13,,
,,<empty>,25,129.54,J,130.48,S,30 JUN 26,568,9.41,P,9.48,D,<empty>,9,,
,,0,7,128.65,J,129.74,J,30 JUN 26,569,9.49,B,9.56,B,0,16,,
,,0,113,127.59,Z,128.39,E,30 JUN 26,570,9.57,S,9.67,W,0,337,,
,,<empty>,1,126.62,S,127.68,C,30 JUN 26,571,9.68,I,9.75,I,0,7,,
,,<empty>,1,125.95,S,126.78,W,30 JUN 26,572,9.78,I,9.88,B,0,31,,
,,0,8,124.81,E,125.92,Z,30 JUN 26,573,9.89,B,9.98,W,<empty>,7,,
