Stock quote and option quote for SPY on 12/1/25 08:51:56

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
680.72,Q,-2.67,680.72,P,680.73,P,280 x 640,"6,454,729",678.81,680.78,678.74

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
40,1.08%,<empty>,1.831,Q,9/19/25,689.70,481.80,"1,024,182,000",1.009

1 DEC 25  (0)  100 (Weeklys)
,,Volume,Open.Int,%Change,Delta,Gamma,Impl Vol,Intrinsic,Net Chng,Prob.ITM,ROR,Rho,Theta,Vega,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,%Change,Delta,Gamma,Impl Vol,Intrinsic,Net Chng,Prob.ITM,ROR,Rho,Theta,Vega,,
,,<empty>,153,<empty>,1.00,.00,--,180.72,0,100.00%,<empty>,.00,.00,.00,180.49,D,180.77,I,1 DEC 25,500,0,P,.01,E,1,373,-85.71%,.00,.00,166.07%,0,-.06,0.05%,0.00%,.00,-.01,.00,,
,,<empty>,0,<empty>,.95,.00,435.13%,175.72,0,86.98%,<empty>,.00,-.49,.03,175.44,I,176.98,H,1 DEC 25,505,0,A,.01,W,0,30,0.00%,.00,.00,160.71%,0,0,0.05%,0.00%,.00,.00,.00,,
,,<empty>,166,<empty>,1.00,.00,--,170.72,0,100.00%,<empty>,.00,.00,.00,170.25,I,170.77,X,1 DEC 25,510,0,A,.01,I,0,57,0.00%,.00,.00,155.40%,0,0,0.05%,0.00%,.00,-.01,.00,,
,,<empty>,166,<empty>,1.00,.00,--,165.72,0,100.00%,<empty>,.00,.00,.00,165.19,I,165.77,I,1 DEC 25,515,0,N,.01,I,0,241,0.00%,.00,.00,150.13%,0,0,0.05%,0.00%,.00,-.01,.00,,
,,<empty>,12,<empty>,1.00,.00,--,160.72,0,100.00%,<empty>,.00,.00,.00,159.34,I,160.74,I,1 DEC 25,520,0,U,.01,I,0,202,0.00%,.00,.00,144.90%,0,0,0.05%,0.00%,.00,-.01,.00,,
,,<empty>,1,<empty>,.95,.00,387.61%,155.72,0,86.36%,<empty>,.00,-.51,.03,155.59,I,156.86,I,1 DEC 25,525,0,Q,.01,W,0,73,0.00%,.00,.00,139.71%,0,0,0.05%,0.00%,.00,.00,.00,,
,,<empty>,96,<empty>,1.00,.00,--,150.72,0,100.00%,<empty>,.00,.00,.00,150.19,C,150.33,D,1 DEC 25,530,0,A,.01,I,0,389,0.00%,.00,.00,134.56%,0,0,0.05%,0.00%,.00,-.01,.00,,
,,<empty>,1,<empty>,1.00,.00,--,145.72,0,100.00%,<empty>,.00,.00,.00,144.40,E,147.00,I,1 DEC 25,535,0,Q,.01,N,<empty>,411,<empty>,.00,.00,129.45%,0,0,0.05%,0.00%,.00,-.01,.00,,
,,<empty>,0,<empty>,1.00,.00,--,140.72,0,100.00%,<empty>,.00,.00,.00,139.35,X,141.45,C,1 DEC 25,540,0,A,.01,I,0,229,0.00%,.00,.00,124.38%,0,0,0.06%,0.00%,.00,.00,.00,,
,,<empty>,1,<empty>,1.00,.00,--,135.72,0,100.00%,<empty>,.00,.00,.00,134.37,C,136.78,E,1 DEC 25,545,0,Q,.01,W,0,297,0.00%,.00,.00,119.34%,0,0,0.06%,0.00%,.00,.00,.00,,
