Stock quote and option quote for SPY on 12/1/25 09:23:32

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
680.22,K,-3.17,680.21,P,680.22,Q,760 x 160,"13,108,100",678.81,681.86,678.74

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
80,1.08%,<empty>,1.831,Q,9/19/25,689.70,481.80,"1,024,182,000",1.009

1 DEC 25  (0)  100 (Weeklys)
,,Volume,Open.Int,%Change,Delta,Gamma,Impl Vol,Intrinsic,Net Chng,Prob.ITM,ROR,Rho,Theta,Vega,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,%Change,Delta,Gamma,Impl Vol,Intrinsic,Net Chng,Prob.ITM,ROR,Rho,Theta,Vega,,
,,<empty>,153,<empty>,1.00,.00,--,180.22,0,100.00%,<empty>,.00,.00,.00,180.07,I,180.17,D,1 DEC 25,500,0,N,.01,E,1,373,-85.71%,.00,.00,167.79%,0,-.06,0.05%,0.00%,.00,-.01,.00,,
,,<empty>,0,<empty>,.96,.00,430.42%,175.22,0,87.58%,<empty>,.00,-.32,.02,175.04,I,176.03,C,1 DEC 25,505,0,J,.01,A,0,30,0.00%,.00,.00,162.36%,0,0,0.05%,0.00%,.00,.00,.00,,
,,<empty>,166,<empty>,.97,.00,403.38%,170.22,0,88.46%,<empty>,.00,-.03,.02,170.14,D,170.36,C,1 DEC 25,510,0,N,.01,E,0,57,0.00%,.00,.00,156.99%,0,0,0.05%,0.00%,.00,-.01,.00,,
,,<empty>,166,<empty>,.97,.00,389.18%,165.22,0,88.51%,<empty>,.00,-.01,.01,165.10,I,165.36,X,1 DEC 25,515,0,N,.01,A,0,241,0.00%,.00,.00,151.66%,0,0,0.05%,0.00%,.00,-.01,.00,,
,,<empty>,12,<empty>,.97,.00,382.18%,160.22,0,88.04%,<empty>,.00,-.10,.02,159.35,E,161.28,E,1 DEC 25,520,0,J,.01,A,0,202,0.00%,.00,.00,146.37%,0,0,0.05%,0.00%,.00,-.01,.00,,
,,<empty>,1,<empty>,.95,.00,393.76%,155.22,0,86.20%,<empty>,.00,-.63,.03,155.13,I,156.56,I,1 DEC 25,525,0,U,.01,C,0,73,0.00%,.00,.00,141.12%,0,0,0.05%,0.00%,.00,.00,.00,,
,,<empty>,96,<empty>,.98,.00,351.30%,150.22,0,88.33%,<empty>,.00,-.01,.01,150.23,M,150.22,X,1 DEC 25,530,0,J,.01,E,0,389,0.00%,.00,.00,135.91%,0,0,0.05%,0.00%,.00,-.01,.00,,
,,<empty>,1,<empty>,.97,.00,352.86%,145.22,0,87.16%,<empty>,.00,-.20,.02,144.25,E,146.58,E,1 DEC 25,535,0,J,.01,M,<empty>,411,<empty>,.00,.00,130.74%,0,0,0.05%,0.00%,.00,-.01,.00,,
,,<empty>,0,<empty>,.97,.00,342.03%,140.22,0,86.91%,<empty>,.00,-.20,.02,139.31,E,141.53,E,1 DEC 25,540,0,J,.01,M,0,229,0.00%,.00,.00,125.61%,0,0,0.06%,0.00%,.00,.00,.00,,
,,<empty>,1,<empty>,.97,.00,330.87%,135.22,0,86.69%,<empty>,.00,-.20,.02,134.28,C,136.55,B,1 DEC 25,545,0,U,.01,M,0,297,0.00%,.00,.00,120.52%,0,0,0.06%,0.00%,.00,.00,.00,,
,,<empty>,0,<empty>,.97,.00,317.94%,130.22,0,86.60%,<empty>,.00,-.16,.02,129.21,C,131.54,E,1 DEC 25,550,0,Q,.01,M,0,429,0.00%,.00,.00,115.46%,0,0,0.06%,0.00%,.00,-.01,.00,,
,,<empty>,18,<empty>,.97,.00,308.09%,125.22,0,86.24%,<empty>,.00,-.16,.02,124.22,E,126.55,E,1 DEC 25,555,0,Q,.01,M,<empty>,422,<empty>,.00,.00,110.43%,0,0,0.06%,0.00%,.00,-.01,.00,,
,,<empty>,1,<empty>,.98,.00,290.03%,120.22,0,86.62%,<empty>,.00,-.06,.01,119.24,C,121.31,E,1 DEC 25,560,0,J,.01,M,0,475,0.00%,.00,.00,105.44%,0,0,0.06%,0.00%,.00,.00,.00,,
,,<empty>,0,<empty>,.99,.00,276.76%,115.22,0,86.56%,<empty>,.00,-.03,.01,114.22,E,116.27,E,1 DEC 25,565,0,J,.01,A,0,632,0.00%,.00,.00,100.47%,0,0,0.06%,0.00%,.00,.00,.00,,
,,<empty>,0,<empty>,1.00,.00,--,110.22,0,100.00%,<empty>,.00,.00,.00,109.40,C,110.95,E,1 DEC 25,570,0,J,.01,M,0,521,0.00%,.00,.00,95.54%,0,0,0.07%,0.00%,.00,.00,.00,,
,,<empty>,0,<empty>,1.00,.00,--,105.22,0,100.00%,<empty>,.00,.00,.00,104.34,E,105.95,B,1 DEC 25,575,0,J,.01,C,0,262,0.00%,.00,.00,90.64%,0,0,0.07%,0.00%,.00,.00,.00,,
,,<empty>,2,<empty>,1.00,.00,--,100.22,0,100.00%,<empty>,.00,.00,.00,100.07,E,100.33,E,1 DEC 25,580,0,Q,.01,M,0,470,0.00%,.00,.00,85.76%,0,0,0.07%,0.00%,.00,.00,.00,,
,,<empty>,1,<empty>,1.00,.00,--,95.22,0,100.00%,<empty>,.00,.00,.00,95.07,E,95.33,E,1 DEC 25,585,0,S,.01,C,0,508,0.00%,.00,.00,80.91%,0,0,0.08%,0.00%,.00,-.01,.00,,
,,<empty>,21,<empty>,1.00,.00,--,90.22,0,100.00%,<empty>,.00,.00,.00,90.07,E,90.34,C,1 DEC 25,590,0,Q,.01,M,0,299,0.00%,.00,.00,76.08%,0,0,0.08%,0.00%,.00,.00,.00,,
,,<empty>,72,<empty>,.98,.00,219.95%,85.22,0,83.31%,<empty>,.00,-.02,.01,85.19,D,85.28,I,1 DEC 25,595,0,J,.01,H,0,425,0.00%,.00,.00,71.27%,0,0,0.08%,0.00%,.00,.00,.00,,
,,0,24,0.00%,1.00,.00,--,80.22,0,100.00%,<empty>,.00,.00,.00,79.35,B,80.90,C,1 DEC 25,600,0,Q,.01,M,0,"3,238",0.00%,.00,.00,66.48%,0,0,0.09%,0.00%,.00,.00,.00,,
,,0,4,0.00%,1.00,.00,--,75.22,0,100.00%,<empty>,.00,.00,.00,75.07,E,75.33,E,1 DEC 25,605,0,U,.01,M,0,"1,066",0.00%,.00,.00,61.71%,0,0,0.10%,0.00%,.00,.00,.00,,
,,0,31,0.00%,.97,.01,193.58%,70.22,0,80.57%,<empty>,.00,-.06,.02,70.21,B,70.34,E,1 DEC 25,610,0,C,.01,M,0,"1,169",0.00%,.00,.00,56.95%,0,0,0.10%,0.00%,.00,.00,.00,,
,,<empty>,3,<empty>,.97,.01,180.76%,65.22,0,80.01%,<empty>,.00,-.01,.02,65.19,E,65.26,X,1 DEC 25,615,0,J,.01,M,0,"1,822",0.00%,.00,.00,52.21%,0,0,0.11%,0.00%,.00,.00,.00,,
