Stock quote and option quote for SPY on 12/1/25 10:00:29

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
681.53,D,-1.86,681.51,Q,681.53,Q,320 x 280,"17,840,712",678.81,681.86,678.74

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
97,1.07%,<empty>,1.831,Q,9/19/25,689.70,481.80,"1,024,182,000",1.009

1 DEC 25  (0)  100 (Weeklys)
,,Volume,Open.Int,%Change,Delta,Gamma,Impl Vol,Intrinsic,Net Chng,Prob.ITM,ROR,Rho,Theta,Vega,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,%Change,Delta,Gamma,Impl Vol,Intrinsic,Net Chng,Prob.ITM,ROR,Rho,Theta,Vega,,
,,<empty>,153,<empty>,.96,.00,437.00%,181.53,0,88.65%,<empty>,.00,-.04,.02,181.59,D,181.55,X,1 DEC 25,500,0,T,.01,A,1,373,-85.71%,.00,.00,171.36%,0,-.06,0.05%,0.00%,.00,-.01,.00,,
,,<empty>,0,<empty>,.95,.00,449.90%,176.53,0,86.93%,<empty>,.00,-.66,.03,176.39,I,177.99,S,1 DEC 25,505,0,Q,.01,A,0,30,0.00%,.00,.00,165.87%,0,0,0.05%,0.00%,.00,-.01,.00,,
,,<empty>,166,<empty>,.96,.00,419.89%,171.53,0,87.96%,<empty>,.00,-.23,.02,171.70,X,171.81,I,1 DEC 25,510,0,S,.01,A,0,57,0.00%,.00,.00,160.43%,0,0,0.05%,0.00%,.00,-.01,.00,,
,,<empty>,166,<empty>,.96,.00,406.79%,166.53,0,87.90%,<empty>,.00,-.22,.02,166.69,C,166.80,M,1 DEC 25,515,0,Q,.01,E,0,241,0.00%,.00,.00,155.03%,0,0,0.05%,0.00%,.00,.00,.00,,
,,<empty>,12,<empty>,1.00,.00,--,161.53,0,100.00%,<empty>,.00,.00,.00,160.56,E,161.89,I,1 DEC 25,520,0,J,.01,A,0,202,0.00%,.00,.00,149.67%,0,0,0.05%,0.00%,.00,-.01,.00,,
,,<empty>,1,<empty>,.95,.00,400.27%,156.53,0,86.38%,<empty>,.00,-.65,.03,156.39,I,157.97,I,1 DEC 25,525,0,X,.01,A,0,73,0.00%,.00,.00,144.35%,0,0,0.05%,0.00%,.00,-.01,.00,,
,,<empty>,96,<empty>,1.00,.00,--,151.53,0,100.00%,<empty>,.00,.00,.00,151.47,M,151.56,C,1 DEC 25,530,0,A,.01,E,0,389,0.00%,.00,.00,139.08%,0,0,0.05%,0.00%,.00,.00,.00,,
,,<empty>,1,<empty>,.97,.00,357.73%,146.53,0,87.43%,<empty>,.00,-.19,.02,145.51,E,147.93,I,1 DEC 25,535,0,N,.01,A,<empty>,411,<empty>,.00,.00,133.84%,0,0,0.05%,0.00%,.00,-.01,.00,,
,,<empty>,0,<empty>,.97,.00,346.99%,141.53,0,87.18%,<empty>,.00,-.20,.02,140.50,E,142.96,E,1 DEC 25,540,0,S,.01,A,0,229,0.00%,.00,.00,128.64%,0,0,0.05%,0.00%,.00,.00,.00,,
,,<empty>,1,<empty>,.97,.00,334.83%,136.53,0,87.03%,<empty>,.00,-.18,.02,135.63,E,137.79,E,1 DEC 25,545,0,J,.01,A,0,297,0.00%,.00,.00,123.48%,0,0,0.06%,0.00%,.00,.00,.00,,
,,<empty>,0,<empty>,.97,.00,323.15%,131.53,0,86.84%,<empty>,.00,-.17,.02,130.39,N,133.00,H,1 DEC 25,550,0,A,.01,A,0,429,0.00%,.00,.00,118.36%,0,0,0.06%,0.00%,.00,.00,.00,,
,,<empty>,18,<empty>,.97,.00,312.84%,126.53,0,86.52%,<empty>,.00,-.17,.02,125.56,E,127.84,E,1 DEC 25,555,0,N,.01,N,<empty>,422,<empty>,.00,.00,113.27%,0,0,0.06%,0.00%,.00,-.01,.00,,
,,<empty>,1,<empty>,.97,.00,301.56%,121.53,0,86.27%,<empty>,.00,-.16,.02,120.39,A,122.98,C,1 DEC 25,560,0,N,.01,N,0,475,0.00%,.00,.00,108.21%,0,0,0.06%,0.00%,.00,-.01,.00,,
,,<empty>,0,<empty>,.97,.00,290.14%,116.53,0,86.01%,<empty>,.00,-.14,.02,115.39,N,117.94,J,1 DEC 25,565,0,N,.01,M,0,632,0.00%,.00,.00,103.19%,0,0,0.06%,0.00%,.00,.00,.00,,
,,<empty>,0,<empty>,.98,.00,275.54%,111.53,0,86.05%,<empty>,.00,-.07,.01,110.89,E,112.31,C,1 DEC 25,570,0,S,.01,M,0,521,0.00%,.00,.00,98.19%,0,0,0.07%,0.00%,.00,-.01,.00,,
,,<empty>,0,<empty>,1.00,.00,--,106.53,0,100.00%,<empty>,.00,.00,.00,105.68,E,107.28,E,1 DEC 25,575,0,N,.01,M,0,262,0.00%,.00,.00,93.22%,0,0,0.07%,0.00%,.00,.00,.00,,
,,<empty>,2,<empty>,1.00,.00,--,101.53,0,100.00%,<empty>,.00,.00,.00,101.36,C,101.65,C,1 DEC 25,580,0,Q,.01,M,0,470,0.00%,.00,.00,88.29%,0,0,0.07%,0.00%,.00,.00,.00,,
,,<empty>,1,<empty>,1.00,.00,--,96.53,0,100.00%,<empty>,.00,.00,.00,96.36,C,96.65,C,1 DEC 25,585,0,H,.01,M,0,508,0.00%,.00,.00,83.37%,0,0,0.08%,0.00%,.00,.00,.00,,
,,<empty>,21,<empty>,1.00,.00,--,91.53,0,100.00%,<empty>,.00,.00,.00,91.36,C,91.65,C,1 DEC 25,590,0,Q,.01,A,0,299,0.00%,.00,.00,78.48%,0,0,0.08%,0.00%,.00,-.01,.00,,
,,<empty>,72,<empty>,.96,.00,231.74%,86.53,0,82.79%,<empty>,.00,-.16,.02,86.62,M,86.75,M,1 DEC 25,595,0,X,.01,A,0,425,0.00%,.00,.00,73.62%,0,0,0.08%,0.00%,.00,.00,.00,,
,,0,24,0.00%,1.00,.00,--,81.53,0,100.00%,<empty>,.00,.00,.00,80.73,C,82.31,C,1 DEC 25,600,0,A,.01,M,0,"3,238",0.00%,.00,.00,68.77%,0,0,0.09%,0.00%,.00,.00,.00,,
,,0,4,0.00%,1.00,.00,--,76.53,0,100.00%,<empty>,.00,.00,.00,76.35,B,76.65,C,1 DEC 25,605,0,Q,.01,E,0,"1,066",0.00%,.00,.00,63.94%,0,0,0.09%,0.00%,.00,-.01,.00,,
,,0,31,0.00%,.96,.01,198.58%,71.53,0,80.91%,<empty>,.00,-.09,.02,71.66,M,71.57,E,1 DEC 25,610,0,A,.01,M,0,"1,169",0.00%,.00,.00,59.13%,0,0,0.10%,0.00%,.00,.00,.00,,
,,<empty>,3,<empty>,1.00,.00,--,66.53,0,100.00%,<empty>,.00,.00,.00,66.43,D,66.57,E,1 DEC 25,615,0,Q,.01,M,0,"1,822",0.00%,.00,.00,54.33%,0,0,0.11%,0.00%,.00,.00,.00,,
,,0,43,0.00%,.96,.01,178.11%,61.53,0,78.98%,<empty>,.00,-.09,.02,61.66,M,61.57,E,1 DEC 25,620,0,S,.01,M,0,"2,579",0.00%,.00,.00,49.54%,0,0,0.12%,0.00%,.00,.00,.00,,
,,0,38,0.00%,1.00,.00,--,56.53,0,100.00%,<empty>,.00,.00,.00,56.50,H,56.55,E,1 DEC 25,625,0,A,.01,C,3,"1,685",0.00%,.00,.00,44.76%,0,0,0.13%,0.00%,.00,.00,.00,,
,,4,0,<empty>,.96,.01,163.73%,55.53,<empty>,77.88%,<empty>,.00,-.05,.02,55.64,E,55.51,D,1 DEC 25,626,0,U,.01,A,0,"2,029",0.00%,.00,.00,43.80%,0,0,0.13%,0.00%,.00,.00,.00,,
,,<empty>,0,<empty>,1.00,.00,--,54.53,0,100.00%,<empty>,.00,.00,.00,54.43,E,54.56,C,1 DEC 25,627,0,P,.01,C,0,"1,829",0.00%,.00,.00,42.84%,0,0,0.13%,0.00%,.00,.00,.00,,
,,<empty>,1,<empty>,.95,.01,162.10%,53.53,0,76.97%,<empty>,.00,-.11,.03,53.44,C,53.84,C,1 DEC 25,628,0,P,.01,C,0,"10,296",0.00%,.00,.00,41.89%,0,0,0.13%,0.00%,.00,.00,.00,,
,,5,6,<empty>,1.00,.00,0.00%,52.53,<empty>,100.00%,<empty>,.00,.00,.00,52.49,E,52.57,X,1 DEC 25,629,0,U,.01,C,0,"1,557",0.00%,.00,.00,40.93%,0,0,0.14%,0.00%,.00,.00,.00,,
,,<empty>,14,<empty>,.95,.01,155.36%,51.53,0,76.82%,<empty>,.00,-.05,.02,51.42,I,51.74,E,1 DEC 25,630,0,P,.01,C,0,"6,635",0.00%,.00,.00,39.97%,0,0,0.14%,0.00%,.00,.00,.00,,
,,9,5,+12.46%,1.00,.00,--,50.53,+5.51,100.00%,<empty>,.00,.00,.00,50.48,I,50.56,H,1 DEC 25,631,0,U,.01,M,0,961,0.00%,.00,.00,39.01%,0,0,0.14%,0.00%,.00,-.01,.00,,
,,5,5,+16.33%,1.00,.00,--,49.53,+6.85,100.00%,<empty>,.00,.00,.00,49.51,H,49.51,D,1 DEC 25,632,0,P,.01,M,0,533,0.00%,.00,.00,38.06%,0,0,0.14%,0.00%,.00,-.01,.00,,
,,0,8,0.00%,.96,.01,147.43%,48.53,0,76.20%,<empty>,.00,-.02,.02,48.51,E,48.59,E,1 DEC 25,633,0,W,.01,M,0,349,0.00%,.00,.00,37.10%,0,0,0.15%,0.00%,.00,-.01,.00,,
,,<empty>,4,<empty>,.94,.01,149.26%,47.53,0,75.25%,<empty>,.00,-.12,.03,47.46,H,47.84,E,1 DEC 25,634,0,S,.01,I,0,199,0.00%,.00,.00,36.14%,0,0,0.15%,0.00%,.00,-.01,.00,,
,,0,8,0.00%,.95,.01,144.59%,46.53,0,75.34%,<empty>,.00,-.05,.02,46.42,C,46.75,E,1 DEC 25,635,0,U,.01,I,0,"1,000",0.00%,.00,.00,35.18%,0,0,0.16%,0.00%,.00,-.01,.00,,
,,<empty>,9,<empty>,1.00,.00,--,45.53,0,100.00%,<empty>,.00,.00,.00,45.47,E,45.55,D,1 DEC 25,636,0,A,.01,N,0,"2,203",0.00%,.00,.00,34.22%,0,0,0.16%,0.00%,.00,-.01,.00,,
