Stock quote and option quote for SPY on 12/1/25 10:02:20

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
681.65,D,-1.74,681.65,Q,681.67,P,"80 x 1,080","17,935,349",678.81,681.86,678.74

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
146,1.07%,<empty>,1.831,Q,9/19/25,689.70,481.80,"1,024,182,000",1.009

1 DEC 25  (0)  100 (Weeklys)
,,Volume,Open.Int,AS,BS,Last Size,LAST,LX,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,AS,BS,Last Size,LAST,LX,,
,,<empty>,153,12,12,0,0, ,181.65,X,181.72,X,1 DEC 25,500,0,Q,.01,M,1,373,"5,584",0,1,.01,X,,
,,<empty>,0,1,1,0,0, ,176.58,I,177.99,S,1 DEC 25,505,0,Q,.01,M,0,30,"1,594",0,1,.02,B,,
,,<empty>,166,12,12,0,0, ,171.62,C,171.81,I,1 DEC 25,510,0,S,.01,M,0,57,"1,571",0,1,.02,D,,
,,<empty>,166,12,12,0,0, ,166.61,D,166.71,C,1 DEC 25,515,0,Q,.01,M,0,241,"1,582",0,1,.01,I,,
,,<empty>,12,1,10,0,0, ,160.22,X,161.77,I,1 DEC 25,520,0,J,.01,M,0,202,"1,572",0,13,.02,T,,
,,<empty>,1,10,1,0,0, ,156.58,I,157.90,C,1 DEC 25,525,0,X,.01,N,0,73,"1,192",0,3,.10,I,,
,,<empty>,96,12,12,0,0, ,151.51,I,151.57,D,1 DEC 25,530,0,A,.01,M,0,389,"1,545",0,1,.02,B,,
,,<empty>,1,10,10,0,0, ,145.32,C,147.85,C,1 DEC 25,535,0,N,.01,N,<empty>,411,"1,134",0,0,0, ,,
,,<empty>,0,10,11,0,0, ,140.68,E,142.69,C,1 DEC 25,540,0,S,.01,N,0,229,"1,130",0,1,.01,W,,
,,<empty>,1,10,172,0,0, ,135.63,E,137.97,H,1 DEC 25,545,0,U,.01,N,0,297,"1,126",0,1,.03,B,,
,,<empty>,0,10,132,0,0, ,130.33,E,132.91,C,1 DEC 25,550,0,A,.01,N,0,429,"1,122",0,10,.01,M,,
,,<empty>,18,10,10,0,0, ,125.28,C,127.87,C,1 DEC 25,555,0,N,.01,M,<empty>,422,"1,255",0,0,0, ,,
,,<empty>,1,2,1,0,0, ,120.39,A,122.92,B,1 DEC 25,560,0,N,.01,N,0,475,"1,110",0,39,.01,I,,
