Stock quote and option quote for SPY on 12/1/25 10:15:45

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
680.20,Q,-3.19,680.18,P,680.20,Q,320 x 280,"19,157,854",678.81,681.86,678.74

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
40,1.08%,<empty>,1.831,Q,9/19/25,689.70,481.80,"1,024,182,000",1.009

1 DEC 25  (0)  100 (Weeklys)
,,Volume,Open.Int,AS,BS,Last Size,LAST,LX,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,AS,BS,Last Size,LAST,LX,,
,,<empty>,153,12,11,0,0, ,180.22,I,180.26,M,1 DEC 25,500,0,N,.01,M,1,373,"5,252",0,1,.01,X,,
,,<empty>,0,10,10,0,0, ,174.44,C,176.80,C,1 DEC 25,505,0,Q,.01,E,0,30,"1,379",0,1,.02,B,,
,,<empty>,166,12,11,0,0, ,170.25,I,170.56,I,1 DEC 25,510,0,S,.01,E,0,57,"1,370",0,1,.02,D,,
,,<empty>,166,12,12,0,0, ,165.39,D,165.57,D,1 DEC 25,515,0,Z,.01,E,0,241,"1,222",0,1,.01,I,,
,,<empty>,12,1,19,0,0, ,159.39,H,160.62,I,1 DEC 25,520,0,T,.01,E,0,202,"1,222",0,13,.02,T,,
,,<empty>,1,12,11,0,0, ,154.45,E,156.64,E,1 DEC 25,525,0,N,.01,C,0,73,"1,531",0,3,.10,I,,
,,<empty>,96,12,12,0,0, ,150.36,I,150.29,I,1 DEC 25,530,0,J,.01,M,0,389,"1,425",0,1,.02,B,,
,,<empty>,1,10,1,0,0, ,144.26,N,146.60,I,1 DEC 25,535,0,N,.01,E,<empty>,411,"1,472",0,0,0, ,,
,,<empty>,0,10,10,0,0, ,139.44,C,141.79,C,1 DEC 25,540,0,Z,.01,E,0,229,"1,339",0,1,.01,W,,
,,<empty>,1,5,11,0,0, ,134.45,E,136.61,T,1 DEC 25,545,0,U,.01,E,0,297,"1,319",0,1,.03,B,,
,,<empty>,0,3,22,0,0, ,129.48,E,131.63,W,1 DEC 25,550,0,Z,.01,E,0,429,"1,207",0,10,.01,M,,
,,<empty>,18,10,2,0,0, ,124.68,B,126.66,C,1 DEC 25,555,0,P,.01,E,<empty>,422,"1,548",0,0,0, ,,
,,<empty>,1,10,2,0,0, ,119.84,B,121.65,E,1 DEC 25,560,0,Z,.01,A,0,475,"1,026",0,39,.01,I,,
,,<empty>,0,10,10,0,0, ,114.71,C,116.55,C,1 DEC 25,565,0,J,.01,M,0,632,"1,211",0,1,.01,B,,
,,<empty>,0,10,2,0,0, ,109.46,B,111.30,C,1 DEC 25,570,0,T,.01,A,0,521,"1,314",0,1,.01,B,,
,,<empty>,0,10,10,0,0, ,104.41,C,106.30,C,1 DEC 25,575,0,Z,.01,A,0,262,"1,284",0,2,.01,E,,
,,<empty>,2,10,10,0,0, ,99.79,C,101.30,C,1 DEC 25,580,0,Q,.01,A,0,470,989,0,1,.08,N,,
,,<empty>,1,11,10,0,0, ,95.08,C,95.34,E,1 DEC 25,585,0,X,.01,E,0,508,"1,185",0,1,.01,H,,
,,<empty>,21,2,10,0,0, ,90.08,C,90.56,B,1 DEC 25,590,0,W,.01,E,0,299,"1,378",0,1,.05,B,,
,,<empty>,72,11,11,0,0, ,85.23,I,85.30,I,1 DEC 25,595,0,X,.01,E,0,425,"1,478",0,1,.02,A,,
,,0,24,11,2,1,81.81,C,79.46,B,81.01,E,1 DEC 25,600,0,Q,.01,M,0,"3,238","3,463",0,30,.01,S,,
,,0,4,10,10,1,76.66,Z,75.08,C,75.33,E,1 DEC 25,605,0,S,.01,M,0,"1,066","2,237",0,1,.02,A,,
,,0,31,15,1,5,71.63,X,70.18,E,70.30,E,1 DEC 25,610,0,S,.01,E,0,"1,169","2,200",0,1,.02,A,,
,,<empty>,3,15,2,0,0, ,65.18,B,65.31,E,1 DEC 25,615,0,Q,.01,E,0,"1,822","2,028",0,4,.02,C,,
