Stock quote and option quote for SPY on 12/1/25 10:45:45

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
682.0501,D,-1.3399,682.05,Q,682.06,Q,360 x 120,"21,192,991",678.81,682.31,678.74

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
1000,1.07%,<empty>,1.831,Q,9/19/25,689.70,481.80,"1,024,182,000",1.009

1 DEC 25  (0)  100 (Weeklys)
,,Volume,Open.Int,AS,BS,Last Size,LAST,LX,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,AS,BS,Last Size,LAST,LX,,
,,<empty>,153,15,14,0,0, ,182.11,X,182.04,M,1 DEC 25,500,0,S,.01,A,1,373,"4,904",0,1,.01,X,,
,,<empty>,0,10,10,0,0, ,176.04,E,178.03,E,1 DEC 25,505,0,Q,.01,C,0,30,"1,941",0,1,.02,B,,
,,<empty>,166,15,14,0,0, ,172.11,X,172.05,M,1 DEC 25,510,0,A,.01,M,0,57,"1,670",0,1,.02,D,,
,,<empty>,166,15,15,0,0, ,166.97,D,167.07,X,1 DEC 25,515,0,A,.01,M,0,241,"1,751",0,1,.01,I,,
,,5,12,1,11,5,160.90,C,161.09,E,162.10,I,1 DEC 25,520,0,U,.01,C,0,202,"1,897",0,13,.02,T,,
,,<empty>,1,10,10,0,0, ,155.64,C,157.95,E,1 DEC 25,525,0,U,.01,C,0,73,"1,901",0,3,.10,I,,
,,<empty>,96,15,14,0,0, ,152.11,X,152.08,D,1 DEC 25,530,0,S,.01,M,0,389,"1,795",0,1,.02,B,,
,,<empty>,1,10,11,0,0, ,146.03,E,148.05,E,1 DEC 25,535,0,Q,.01,C,<empty>,411,"1,864",0,0,0, ,,
,,<empty>,0,10,2,0,0, ,140.64,Q,143.03,E,1 DEC 25,540,0,I,.01,M,0,229,"1,698",0,1,.01,W,,
,,<empty>,1,10,11,0,0, ,136.03,E,138.03,E,1 DEC 25,545,0,U,.01,C,0,297,"1,627",0,1,.03,B,,
,,<empty>,0,10,11,0,0, ,131.04,E,133.03,E,1 DEC 25,550,0,A,.01,M,0,429,"1,594",0,10,.01,M,,
,,<empty>,18,33,11,0,0, ,125.96,E,128.08,A,1 DEC 25,555,0,Q,.01,M,<empty>,422,"1,502",0,0,0, ,,
,,<empty>,1,27,10,0,0, ,121.05,C,123.10,I,1 DEC 25,560,0,A,.01,M,0,475,"1,427",0,39,.01,I,,
,,<empty>,0,10,11,0,0, ,116.04,E,118.05,E,1 DEC 25,565,0,U,.01,M,0,632,"1,425",0,1,.01,B,,
,,<empty>,0,10,11,0,0, ,111.33,E,112.86,C,1 DEC 25,570,0,H,.01,C,0,521,"1,701",0,1,.01,B,,
,,<empty>,0,10,10,0,0, ,106.22,C,107.84,C,1 DEC 25,575,0,A,.01,I,0,262,"1,010",0,2,.01,E,,
,,<empty>,2,11,11,0,0, ,101.82,E,102.23,E,1 DEC 25,580,0,Q,.01,M,0,470,"1,518",0,1,.08,N,,
,,<empty>,1,10,10,0,0, ,96.89,C,97.88,C,1 DEC 25,585,0,H,.01,M,0,508,"1,495",0,1,.01,H,,
,,<empty>,21,10,10,0,0, ,91.89,C,92.88,C,1 DEC 25,590,0,D,.01,C,0,299,"1,604",0,1,.05,B,,
,,<empty>,72,15,15,0,0, ,86.95,D,87.11,I,1 DEC 25,595,0,U,.01,M,0,425,"1,282",0,1,.02,A,,
,,0,24,10,10,1,81.81,C,80.66,C,82.83,C,1 DEC 25,600,0,S,.01,A,0,"3,238","3,166",0,30,.01,S,,
,,0,4,10,10,1,76.66,Z,75.66,C,77.87,C,1 DEC 25,605,0,A,.01,A,0,"1,066","1,553",0,1,.02,A,,
,,0,31,26,18,5,71.63,X,71.94,E,72.13,E,1 DEC 25,610,0,S,.01,A,0,"1,169","2,161",0,1,.02,A,,
,,<empty>,3,17,18,0,0, ,66.94,E,67.05,M,1 DEC 25,615,0,W,.01,A,0,"1,822","2,362",0,4,.02,C,,
,,0,43,18,15,5,62.78,C,61.97,I,62.08,E,1 DEC 25,620,0,Q,.01,E,0,"2,579","1,703",0,8,.01,A,,
,,0,38,16,18,5,56.80,X,56.94,E,57.05,E,1 DEC 25,625,0,N,.01,I,3,"1,685","1,225",0,3,.01,D,,
,,4,0,18,18,4,53.67,M,55.94,E,56.05,E,1 DEC 25,626,0,A,.01,A,0,"2,029","1,247",0,4,.01,E,,
,,<empty>,0,18,18,0,0, ,54.94,E,55.15,E,1 DEC 25,627,0,H,.01,M,0,"1,829","1,252",0,29,.01,T,,
,,<empty>,1,300,18,0,0, ,53.97,E,54.33,C,1 DEC 25,628,0,A,.01,A,0,"10,296","1,241",0,2,.29,S,,
,,5,6,16,15,2,50.67,C,53.16,I,53.05,E,1 DEC 25,629,0,U,.01,C,0,"1,557","1,431",0,1,.04,A,,
,,<empty>,14,18,18,0,0, ,51.94,E,52.09,E,1 DEC 25,630,0,M,.01,I,0,"6,635","1,156",0,25,.01,M,,
