Stock quote and option quote for SPY on 12/1/25 02:45:44

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
683.39,P,0,683.53,P,683.59,P,0 x 0,0,<empty>,<empty>,<empty>

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
0,1.03%,125.6,1.759,Q,6/21/24,565.16,409.21,"856,432,000",1.008

1 DEC 25  (0)  100 (Weeklys)
,,Volume,Open.Int,AS,BS,Last Size,LAST,LX,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,AS,BS,Last Size,LAST,LX,,
,,<empty>,152,0,0,0,0, ,182.84,X,183.22,X,1 DEC 25,500,0,E,.01,I,0,373,0,0,2,.07,E,,
,,<empty>,0,0,0,0,0, ,176.33,D,179.84,D,1 DEC 25,505,0,E,.01,I,0,30,0,0,1,.02,B,,
,,<empty>,166,0,0,0,0, ,172.84,M,173.78,M,1 DEC 25,510,0,E,.01,I,0,57,0,0,1,.02,D,,
,,<empty>,162,0,0,0,0, ,167.85,X,168.78,X,1 DEC 25,515,0,M,.01,P,0,240,0,0,1,.01,I,,
,,<empty>,12,0,0,0,0, ,161.37,D,164.88,S,1 DEC 25,520,0,Z,.01,I,0,202,0,0,13,.02,T,,
,,<empty>,0,0,0,0,0, ,156.33,D,159.84,D,1 DEC 25,525,0,M,.01,P,0,73,0,0,3,.10,I,,
,,<empty>,96,0,0,0,0, ,151.33,D,154.84,D,1 DEC 25,530,0,M,.01,I,0,389,0,0,1,.02,B,,
,,<empty>,1,0,0,0,0, ,146.32,D,149.83,D,1 DEC 25,535,0,M,.01,I,<empty>,411,0,0,0,0, ,,
,,<empty>,0,0,0,0,0, ,141.33,D,144.84,D,1 DEC 25,540,0,M,.01,I,0,229,0,0,1,.01,W,,
,,<empty>,1,0,0,0,0, ,136.33,D,139.84,D,1 DEC 25,545,0,M,.01,P,0,297,0,0,1,.03,B,,
,,<empty>,0,0,0,0,0, ,131.37,D,134.88,D,1 DEC 25,550,0,M,.01,P,0,420,0,0,10,.01,M,,
