Stock quote and option quote for SPY on 12/5/25 02:45:44

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
684.39,P,0,684.75,P,684.80,P,0 x 0,0,<empty>,<empty>,<empty>

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
0,1.03%,125.8,1.759,Q,6/21/24,565.16,409.21,"856,432,000",1.008

4 DEC 25  (-1)  100 (Weeklys)
,,Volume,Open.Int,AS,BS,Last Size,LAST,LX,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,AS,BS,Last Size,LAST,LX,,
,,0,4,0,0,1,184.23,I,184.23,B,184.27,B,4 DEC 25,500,0,A,.01,A,0,"1,301",0,0,3,.01,E,,
,,0,0,0,0,1,179.28,I,179.23,B,179.27,B,4 DEC 25,505,0,D,.01,I,0,179,0,0,3,.01,E,,
,,<empty>,0,0,0,0,0, ,174.23,B,174.27,B,4 DEC 25,510,0,D,.01,I,<empty>,35,0,0,0,0, ,,
,,<empty>,7,0,0,0,0, ,169.23,B,169.27,B,4 DEC 25,515,0,A,.01,I,0,21,0,0,5,.04,T,,
,,<empty>,8,0,0,0,0, ,164.23,B,164.27,B,4 DEC 25,520,0,D,.01,E,<empty>,106,0,0,0,0, ,,
,,0,1,0,0,1,159.38,X,159.23,B,159.27,B,4 DEC 25,525,0,S,.01,I,0,34,0,0,1,.01,M,,
,,<empty>,0,0,0,0,0, ,154.23,B,154.27,B,4 DEC 25,530,0,D,.01,I,0,185,0,0,1,.01,M,,
,,<empty>,0,0,0,0,0, ,149.23,B,149.27,B,4 DEC 25,535,0,P,.01,I,0,205,0,0,2,.01,A,,
,,<empty>,0,0,0,0,0, ,144.23,B,144.27,B,4 DEC 25,540,0,S,.01,I,0,130,0,0,10,.03,B,,
,,<empty>,0,0,0,0,0, ,139.23,B,139.27,B,4 DEC 25,545,0,A,.01,E,0,727,0,0,18,.01,H,,
,,0,3,0,0,1,131.86,E,134.23,B,134.27,B,4 DEC 25,550,0,D,.01,I,0,133,0,0,50,.13,T,,
,,<empty>,0,0,0,0,0, ,129.23,B,129.27,B,4 DEC 25,555,0,A,.01,I,0,214,0,0,1,.03,S,,
,,<empty>,0,0,0,0,0, ,124.23,B,124.27,B,4 DEC 25,560,0,D,.01,I,0,271,0,0,1,.15,B,,
,,<empty>,0,0,0,0,0, ,119.23,B,119.27,B,4 DEC 25,565,0,A,.01,I,0,269,0,0,1,.47,A,,
,,<empty>,0,0,0,0,0, ,114.23,B,114.27,B,4 DEC 25,570,0,A,.01,E,0,51,0,0,5,.83,N,,
,,0,2,0,0,1,108.47,I,109.23,B,109.27,B,4 DEC 25,575,0,D,.01,E,0,380,0,0,5,.59,P,,
,,0,0,0,0,1,103.52,I,104.23,B,104.27,B,4 DEC 25,580,0,A,.01,I,0,528,0,0,20,.01,M,,
,,<empty>,1,0,0,0,0, ,99.23,B,99.27,B,4 DEC 25,585,0,S,.01,I,0,639,0,0,4,1.00,M,,
,,<empty>,20,0,0,0,0, ,94.23,B,94.27,B,4 DEC 25,590,0,S,.01,P,0,584,0,0,28,.01,M,,
,,<empty>,0,0,0,0,0, ,89.23,B,89.27,B,4 DEC 25,595,0,A,.01,I,0,386,0,0,1,.02,A,,
,,<empty>,2,0,0,0,0, ,84.23,B,84.27,B,4 DEC 25,600,0,A,.01,M,0,"1,517",0,0,2,.01,A,,
,,<empty>,3,0,0,0,0, ,79.23,B,79.27,B,4 DEC 25,605,0,A,.01,I,0,"1,531",0,0,4,.01,E,,
,,<empty>,1,0,0,0,0, ,74.23,B,74.27,B,4 DEC 25,610,0,S,.01,I,0,"2,010",0,0,4,.02,E,,
,,<empty>,0,0,0,0,0, ,69.23,B,69.27,B,4 DEC 25,615,0,A,.01,W,0,"1,360",0,0,1,.04,A,,
,,0,18,0,0,10,64.69,C,64.23,B,64.27,B,4 DEC 25,620,0,A,.01,I,0,"1,178",0,0,100,.04,I,,
,,0,0,0,0,1,58.62,C,59.23,B,59.27,B,4 DEC 25,625,0,A,.01,N,0,743,0,0,2,.12,I,,
,,0,0,0,0,1,58.41,C,58.23,B,58.27,B,4 DEC 25,626,0,A,.01,I,0,882,0,0,8,.01,A,,
,,0,2,0,0,1,56.14,C,57.25,B,57.29,B,4 DEC 25,627,0,S,.01,N,0,"1,747",0,0,8,.01,A,,
,,0,0,0,0,1,55.19,C,56.23,B,56.27,B,4 DEC 25,628,0,A,.01,I,0,"1,777",0,0,3,.01,A,,
,,0,0,0,0,1,55.35,C,53.81,A,55.29,B,4 DEC 25,629,0,S,.01,I,0,"1,527",0,0,3,.01,A,,
,,0,7,0,0,1,54.40,C,54.23,B,54.27,B,4 DEC 25,630,0,A,.01,W,0,"2,200",0,0,70,.01,A,,
,,<empty>,0,0,0,0,0, ,51.81,W,53.28,B,4 DEC 25,631,0,A,.01,W,0,529,0,0,10,.01,W,,
,,<empty>,0,0,0,0,0, ,52.25,B,52.28,B,4 DEC 25,632,0,A,.01,N,0,328,0,0,3,.01,A,,
,,<empty>,11,0,0,0,0, ,51.23,B,51.27,B,4 DEC 25,633,0,A,.01,I,0,263,0,0,3,.02,A,,
,,<empty>,0,0,0,0,0, ,50.24,B,50.30,B,4 DEC 25,634,0,A,.01,I,0,554,0,0,8,.01,E,,
,,<empty>,3,0,0,0,0, ,49.23,B,49.28,B,4 DEC 25,635,0,A,.01,I,0,"1,906",0,0,8,.02,E,,
,,<empty>,8,0,0,0,0, ,48.24,B,48.29,B,4 DEC 25,636,0,C,.01,W,0,478,0,0,73,.01,W,,
,,<empty>,1,0,0,0,0, ,47.24,B,47.30,B,4 DEC 25,637,0,A,.01,N,0,768,0,0,3,.01,A,,
